provincia,sector,periodo,total
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,9.8
Badajoz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,9.4
"Balears, Illes",Servicios,2025-10-01,82.8
"Balears, Illes",Servicios,2025-07-01,81.3
"Balears, Illes",Servicios,2025-04-01,80.3
"Balears, Illes",Servicios,2025-01-01,77.6
"Balears, Illes",Servicios,2024-10-01,79.8
"Balears, Illes",Servicios,2024-07-01,78.9
"Balears, Illes",Servicios,2024-04-01,80.9
"Balears, Illes",Servicios,2024-01-01,78.9
"Balears, Illes",Servicios,2023-10-01,80.5
"Balears, Illes",Servicios,2023-07-01,83.4
"Balears, Illes",Servicios,2023-04-01,82.0
"Balears, Illes",Servicios,2023-01-01,80.3
"Balears, Illes",Servicios,2022-10-01,78.5
"Balears, Illes",Servicios,2022-07-01,81.7
"Balears, Illes",Servicios,2022-04-01,78.6
"Balears, Illes",Servicios,2022-01-01,77.4
"Balears, Illes",Servicios,2021-10-01,75.3
"Balears, Illes",Servicios,2021-07-01,77.2
"Balears, Illes",Servicios,2021-04-01,74.0
"Balears, Illes",Servicios,2021-01-01,75.5
"Balears, Illes",Servicios,2020-10-01,76.7
"Balears, Illes",Servicios,2020-07-01,79.5
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,2.7
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,2.6
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,2.7
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,4.4
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,3.0
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,3.0
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,2.8
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,2.7
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,3.5
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,2.7
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,3.0
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,3.5
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,3.6
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,2.8
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,3.9
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,5.4
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,5.5
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,6.2
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,8.8
