Provincias;Sector económico;Periodo;Total
01 Araba/Álava;Servicios;2020T4;65,8
01 Araba/Álava;Servicios;2020T3;65,7
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;3,9
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;3,9
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;3,5
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;3,6
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;3,3
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;4,7
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;4,0
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;4,8
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;3,3
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;4,7
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;4,2
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;4,3
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;3,4
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;3,9
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;5,7
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;5,9
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;6,5
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;7,9
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;5,8
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;8,2
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;4,0
01 Araba/Álava;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;3,9
33 Asturias;Servicios;2025T4;74,5
33 Asturias;Servicios;2025T3;73,7
33 Asturias;Servicios;2025T2;73,2
33 Asturias;Servicios;2025T1;72,4
33 Asturias;Servicios;2024T4;71,3
33 Asturias;Servicios;2024T3;69,0
33 Asturias;Servicios;2024T2;68,8
33 Asturias;Servicios;2024T1;70,5
33 Asturias;Servicios;2023T4;70,6
33 Asturias;Servicios;2023T3;69,1
33 Asturias;Servicios;2023T2;71,6
33 Asturias;Servicios;2023T1;70,7
33 Asturias;Servicios;2022T4;70,0
33 Asturias;Servicios;2022T3;70,2
33 Asturias;Servicios;2022T2;70,7
33 Asturias;Servicios;2022T1;70,4
33 Asturias;Servicios;2021T4;71,5
33 Asturias;Servicios;2021T3;68,8
33 Asturias;Servicios;2021T2;69,0
33 Asturias;Servicios;2021T1;70,2
33 Asturias;Servicios;2020T4;70,8
33 Asturias;Servicios;2020T3;71,1
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;3,8
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;4,3
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;4,3
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;4,5
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;4,3
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;5,5
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;7,0
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;6,1
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;6,5
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;8,3
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;6,7
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;7,2
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;8,1
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;6,9
33 Asturias;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;6,0
