Operación	Total Nacional	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M07	298.120
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M06	267.967
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M05	265.442
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M04	224.184
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M03	266.685
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M02	208.041
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2024M01	181.165
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M12	206.185
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M11	184.819
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M10	254.261
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M09	269.336
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M08	343.772
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M07	285.961
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M06	239.433
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M05	214.445
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M04	252.862
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M03	216.350
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M02	197.371
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2023M01	169.047
Encuesta de Ocupación Hotelera	Total Nacional	02 Aragón	Total		Viajero	2022M12	190.127
